0114_0007_SF
0132_1027_AGN
0134_0946_AGN
0152_0843_AGN
0157_0005_SF
0201_0814_SF
0246_0814_SF
0255_0000_AGN
0317_0041_SF
0325_0608_AGN
0339_0612_AGN
0344_0023_SF
0351_0030_SF
0837_0441_AGN
0838_0400_SF
0838_0407_AGN
0839_0724_AGN
0922_0845_SF
0932_0950_AGN
0954_0707_SF
1001_0336_AGN
1018_0139_AGN
1101_0135_AGN
1109_0042_SF
1127_0023_SF
1129_0142_SF1
1141_0143_SF
1150_0441_AGN
1156_0532_AGN
1214_0329_AGN
1244_0945_SF
1316_0303_SF
1330_0146_SF
1400_0502_AGN
2305_0834_SF
2309_0045_AGN
